team,fifa_ranking,confederation,squad_size,average_age,total_market_value_eur,top5_player_value,median_player_value,avg_caps,avg_intl_goals,players_over_20m,players_over_50m,n_attackers,n_defenders,n_midfielders,n_goalkeepers
Albania,63.0,UEFA,25,28.2,86349998.0,48000000.0,250000.0,15.518518518518519,1.1851851851851851,0,0,63,45,55,17
Uzbekistan,52.0,AFC,14,26.3,8500000.0,52300000.0,700000.0,26.458333333333332,3.2083333333333335,1,0,19,18,16,5
Iceland,74.0,UEFA,22,27.0,79000000.0,61000000.0,400000.0,19.308823529411764,1.6176470588235294,1,0,36,32,48,9
Morocco,8.0,CAF,28,25.3,431750000.0,209000000.0,500000.0,11.937823834196891,1.5336787564766838,12,1,120,97,126,16
Panama,33.0,CONCACAF,23,29.5,31200001.0,19500000.0,325000.0,27.64406779661017,2.2033898305084745,0,0,25,21,15,6
Luxembourg,102.0,UEFA,24,26.1,33299999.0,25500000.0,350000.0,34.6,2.0285714285714285,0,0,10,14,13,6
Paraguay,40.0,CONMEBOL,31,28.5,124800003.0,86000000.0,800000.0,11.989247311827956,0.7204301075268817,2,0,65,48,33,7
Iran,20.0,AFC,28,29.4,34049999.0,18300000.0,600000.0,25.43859649122807,3.6315789473684212,0,0,31,20,14,11
Peru,53.0,CONMEBOL,24,26.7,27650000.0,19500000.0,412500.0,22.82051282051282,1.705128205128205,0,0,32,31,32,8
Lebanon,109.0,AFC,23,28.8,6450000.0,2425000.0,300000.0,15.594594594594595,0.7027027027027027,0,0,14,11,10,6
Malta,161.0,UEFA,29,27.1,14550000.0,9000000.0,362500.0,23.428571428571427,1.2380952380952381,0,0,10,5,9,2
Slovenia,57.0,UEFA,26,26.9,145800003.0,111500000.0,300000.0,14.285714285714286,1.2857142857142858,1,1,45,58,51,27
South Korea,22.0,AFC,26,27.7,125099998.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Honduras,65.0,CONCACAF,28,28.2,15650000.0,11300000.0,437500.0,22.28846153846154,2.0384615384615383,0,0,24,17,20,5
Algeria,28.0,CAF,27,25.8,236550003.0,155000000.0,450000.0,14.88034188034188,2.230769230769231,5,0,75,64,56,15
Cyprus,128.0,UEFA,26,25.7,19600000.0,8700000.0,300000.0,22.363636363636363,1.5227272727272727,0,0,16,24,15,6
Georgia,73.0,UEFA,24,26.8,194979996.0,157000000.0,262500.0,19.62686567164179,1.7462686567164178,3,1,41,39,45,10
Tunisia,47.0,CAF,30,25.3,69650002.0,41000000.0,312500.0,18.791666666666668,2.0416666666666665,0,0,45,44,44,7
Jamaica,70.0,CONCACAF,28,26.8,48950001.0,52000000.0,400000.0,14.89041095890411,1.2602739726027397,0,0,42,39,22,8
Egypt,31.0,CAF,28,29.1,134250000.0,103500000.0,250000.0,21.070422535211268,2.4507042253521125,2,1,38,33,27,11
Ukraine,30.0,UEFA,26,26.5,261399994.0,153000000.0,150000.0,7.72316384180791,0.7033898305084746,5,0,382,506,496,214
Chile,55.0,CONMEBOL,26,25.5,84099998.0,36000000.0,650000.0,15.715789473684211,2.1052631578947367,0,0,45,36,53,8
Gibraltar,202.0,UEFA,23,23.5,1200000.0,0.0,0.0,20.256410256410255,0.5384615384615384,0,0,11,12,11,5
South Africa,60.0,CAF,28,26.5,46349998.0,20600000.0,437500.0,9.784810126582279,1.1772151898734178,0,0,37,36,44,8
Saudi Arabia,61.0,AFC,25,27.4,29049999.0,17100000.0,200000.0,9.047445255474452,0.781021897810219,0,0,112,179,106,70
Colombia,14.0,CONMEBOL,26,29.6,301000000.0,175000000.0,350000.0,9.388235294117647,1.0470588235294118,6,1,294,290,241,68
Lithuania,146.0,UEFA,25,28.3,18230000.0,9950000.0,200000.0,18.804347826086957,1.0869565217391304,0,0,19,22,17,13
Wales,35.0,UEFA,26,26.8,211149994.0,125000000.0,300000.0,21.816666666666666,1.55,4,0,30,50,54,18
Kyrgyzstan,103.0,AFC,22,27.4,5830000.0,800000.0,400000.0,17.15,1.325,0,0,9,10,17,4
United Arab Emirates,68.0,AFC,23,27.3,39880001.0,5300000.0,125000.0,21.23913043478261,1.934782608695652,0,0,14,19,11,4
North Macedonia,66.0,UEFA,28,28.8,39130001.0,24500000.0,250000.0,21.065573770491802,2.0327868852459017,0,0,38,28,33,11
Bolivia,76.0,CONMEBOL,32,23.9,18799999.0,8650000.0,375000.0,15.156862745098039,0.7450980392156863,0,0,16,17,22,7
Kosovo,79.0,UEFA,28,27.4,143179993.0,101000000.0,400000.0,13.776470588235295,1.5176470588235293,3,0,48,29,40,8
Israel,77.0,UEFA,24,26.4,85900002.0,53000000.0,300000.0,12.13888888888889,1.0,0,0,54,36,42,11
China,93.0,AFC,26,29.4,10930000.0,4650000.0,200000.0,13.159090909090908,0.6818181818181818,0,0,16,19,17,7
Northern Ireland,69.0,UEFA,25,25.7,95680000.0,96000000.0,250000.0,17.03448275862069,1.0689655172413792,3,0,29,43,35,20
Thailand,96.0,AFC,23,28.8,8150000.0,2050000.0,250000.0,20.59259259259259,2.388888888888889,0,0,12,24,17,6
Ecuador,23.0,CONMEBOL,28,25.4,366079987.0,280000000.0,1100000.0,14.426829268292684,1.353658536585366,4,3,42,33,30,6
Moldova,158.0,UEFA,26,26.4,14400000.0,7350000.0,250000.0,20.304347826086957,1.391304347826087,0,0,10,15,16,8
Estonia,129.0,UEFA,26,25.9,15680000.0,9600000.0,250000.0,30.871794871794872,2.4615384615384617,0,0,13,19,13,7
Armenia,105.0,UEFA,27,24.7,39630001.0,39500000.0,200000.0,19.44,1.76,1,0,28,21,31,8
Mexico,16.0,CONCACAF,21,26.1,101800003.0,78000000.0,1000000.0,11.083333333333334,1.1388888888888888,1,0,125,168,131,55
Libya,112.0,CAF,25,26.8,12550000.0,14300000.0,1400000.0,11.64,0.92,0,0,13,18,18,5
Costa Rica,51.0,CONCACAF,26,27.9,40130001.0,30500000.0,500000.0,23.639344262295083,2.6065573770491803,0,0,30,27,20,6
Azerbaijan,127.0,UEFA,25,26.7,20549999.0,7200000.0,275000.0,18.863636363636363,1.0454545454545454,0,0,12,24,17,9
Vietnam,108.0,AFC,23,27.9,6380000.0,550000.0,275000.0,11.523809523809524,1.2619047619047619,0,0,10,16,14,4
Kazakhstan,114.0,UEFA,26,26.4,17250000.0,9600000.0,450000.0,18.41304347826087,1.2391304347826086,0,0,17,20,13,7
New Zealand,85.0,OFC,23,27.4,21600000.0,17000000.0,262500.0,13.439024390243903,1.8414634146341464,0,0,24,38,25,17
Faroe Islands,125.0,UEFA,24,28.2,6530000.0,3950000.0,150000.0,27.323529411764707,1.7058823529411764,0,0,10,16,13,6
