team,elo
Hmong,1452.0
Kabylia,1450.9
Monaco,1447.4
Malawi,1445.0
Equatorial Guinea,1442.9
Provence,1441.1
Gotland,1439.8
Greenland,1439.2
Lebanon,1438.1
Mayotte,1437.4
Saarland,1436.6
Liberia,1434.3
Mauritania,1432.9
Western Isles,1428.6
Azerbaijan,1428.6
Tajikistan,1426.9
Papua New Guinea,1425.2
Estonia,1424.5
Manchukuo,1424.3
Găgăuzia,1423.2
Palau,1421.8
Ticino,1420.7
French Guiana,1418.7
Two Sicilies,1411.1
Marshall Islands,1408.2
Lesotho,1407.4
Vatican City,1403.4
Vanuatu,1402.9
Saint Barthélemy,1401.8
Orkney,1401.7
Tanzania,1401.7
Namibia,1401.3
Fiji,1395.7
Cuba,1393.8
Western Australia,1391.8
Raetia,1391.0
Turkmenistan,1388.9
Botswana,1388.3
Cyprus,1387.7
Sark,1386.7
Malta,1384.5
Ambazonia,1383.1
Barawa,1381.1
Lithuania,1378.9
Latvia,1376.4
Ethiopia,1373.7
Burundi,1373.1
Puerto Rico,1363.0
Vietnam Republic,1359.9
Guinea-Bissau,1352.3
Central African Republic,1346.9
Yemen DPR,1346.6
Micronesia,1344.3
Chagos Islands,1342.6
Solomon Islands,1340.8
Hitra,1338.8
Saint Vincent and the Grenadines,1335.5
Saint Helena,1334.3
Saare County,1332.6
Hong Kong,1332.2
Moldova,1327.6
Darfur,1327.2
Philippines,1321.7
Congo,1320.3
Saint Pierre and Miquelon,1312.6
Eswatini,1304.4
Bermuda,1302.8
Singapore,1293.7
Yemen,1291.1
Grenada,1286.1
Wallis Islands and Futuna,1285.6
Saint Martin,1280.4
Sint Maarten,1278.8
South Sudan,1274.5
Belize,1274.1
Kiribati,1273.6
Tibet,1269.2
India,1261.8
Saint Kitts and Nevis,1256.4
Chad,1228.9
Samoa,1226.5
Montserrat,1221.1
Mauritius,1221.1
Tuvalu,1213.1
Aruba,1212.1
Afghanistan,1206.2
Saint Lucia,1204.3
Falkland Islands,1202.2
Frøya,1180.3
Eritrea,1174.7
São Tomé and Príncipe,1166.8
Andorra,1166.3
Dominica,1154.0
Bonaire,1151.0
Bangladesh,1130.6
Myanmar,1130.3
Gibraltar,1125.2
Antigua and Barbuda,1120.9
Barbados,1115.2
Cook Islands,1115.1
Nepal,1108.3
Alderney,1078.7
Tonga,1073.7
Taiwan,1069.5
Cayman Islands,1069.4
Djibouti,1061.0
Cambodia,1052.0
Somalia,1046.3
Maldives,1043.7
British Virgin Islands,1022.8
Sri Lanka,1016.9
Liechtenstein,1011.1
Turks and Caicos Islands,1005.2
United States Virgin Islands,1000.1
Pakistan,997.4
Seychelles,993.3
Guam,992.2
Mongolia,991.0
Northern Mariana Islands,974.3
Bahamas,943.8
Laos,940.6
San Marino,938.3
American Samoa,930.8
Brunei,906.4
Anguilla,903.5
Timor-Leste,871.4
Bhutan,868.5
Macau,839.7
