date,home_team,away_team,elo_home_before,elo_away_before,elo_home_after,elo_away_after
1888-09-19,Scotland,Canada,1714.46,1502.59,1723.74,1493.31
1889-02-23,England,Wales,1662.27,1368.81,1669.08,1361.99
1889-03-02,England,Northern Ireland,1669.08,1254.47,1673.2,1250.34
1889-03-09,Scotland,Northern Ireland,1723.74,1250.34,1726.74,1247.35
1889-04-13,England,Scotland,1673.2,1726.74,1657.37,1742.58
1889-04-15,Wales,Scotland,1361.99,1742.58,1373.84,1730.73
1889-04-27,Northern Ireland,Wales,1247.35,1373.84,1228.55,1392.64
1890-02-08,Wales,Northern Ireland,1392.64,1228.55,1408.32,1212.87
1890-03-15,Northern Ireland,England,1212.87,1657.37,1206.88,1663.36
1890-03-15,Wales,England,1408.32,1663.36,1397.04,1674.64
1890-03-22,Scotland,Wales,1730.73,1397.04,1737.06,1390.71
1890-03-29,Northern Ireland,Scotland,1206.88,1737.06,1203.56,1740.38
1890-04-05,Scotland,England,1740.38,1674.64,1735.24,1679.78
1891-02-07,Northern Ireland,Wales,1203.56,1390.71,1247.57,1346.69
1891-03-07,England,Wales,1679.78,1346.69,1685.34,1341.13
1891-03-07,England,Northern Ireland,1685.34,1247.57,1688.98,1243.93
1891-03-21,Wales,Scotland,1341.13,1735.24,1337.25,1739.12
1891-03-28,Scotland,Northern Ireland,1739.12,1243.93,1740.45,1242.6
1891-04-04,England,Scotland,1688.98,1740.45,1705.05,1724.38
1892-02-27,Wales,Northern Ireland,1337.25,1242.6,1330.95,1248.9
1892-03-05,Northern Ireland,England,1248.9,1705.05,1244.68,1709.27
1892-03-05,Wales,England,1330.95,1709.27,1324.65,1715.57
1892-03-19,Northern Ireland,Scotland,1244.68,1724.38,1242.19,1726.87
1892-03-26,Scotland,Wales,1726.87,1324.65,1731.28,1320.24
1892-04-02,Scotland,England,1731.28,1715.57,1698.05,1748.81
1893-02-25,England,Northern Ireland,1748.81,1242.19,1751.3,1239.69
1893-03-13,England,Wales,1751.3,1320.24,1755.08,1316.46
1893-03-18,Wales,Scotland,1316.46,1698.05,1308.2,1706.31
1893-03-25,Scotland,Northern Ireland,1706.31,1239.69,1709.42,1236.58
1893-04-01,England,Scotland,1755.08,1709.42,1775.56,1688.94
1894-02-24,Wales,Northern Ireland,1308.2,1236.58,1326.78,1218.0
1894-03-03,Northern Ireland,England,1218.0,1775.56,1232.37,1761.19
1894-03-12,Wales,England,1326.78,1761.19,1320.47,1767.5
1894-03-24,Scotland,Wales,1688.94,1320.47,1693.56,1315.85
1894-03-31,Northern Ireland,Scotland,1232.37,1693.56,1229.62,1696.31
1894-04-07,Scotland,England,1696.31,1767.5,1697.28,1766.53
1895-03-09,England,Northern Ireland,1766.53,1229.62,1768.64,1227.51
1895-03-16,Northern Ireland,Wales,1227.51,1315.85,1229.27,1314.09
1895-03-18,England,Wales,1768.64,1314.09,1754.3,1328.43
1895-03-23,Wales,Scotland,1328.43,1697.28,1340.03,1685.68
1895-03-30,Scotland,Northern Ireland,1685.68,1229.27,1688.15,1226.8
1895-04-06,England,Scotland,1754.3,1688.15,1773.27,1669.18
1896-02-29,Wales,Northern Ireland,1340.03,1226.8,1358.01,1208.82
1896-03-07,Northern Ireland,England,1208.82,1773.27,1206.46,1775.64
1896-03-16,Wales,England,1358.01,1775.64,1351.13,1782.52
1896-03-21,Scotland,Wales,1669.18,1351.13,1676.05,1344.26
1896-03-28,Northern Ireland,Scotland,1206.46,1676.05,1219.84,1662.67
1896-04-04,Scotland,England,1662.67,1782.52,1681.84,1763.34
1897-02-20,England,Northern Ireland,1763.34,1219.84,1765.38,1217.8
1897-03-06,Northern Ireland,Wales,1217.8,1344.26,1237.27,1324.8
1897-03-20,Wales,Scotland,1324.8,1681.84,1336.13,1670.51
1897-03-27,Scotland,Northern Ireland,1670.51,1237.27,1674.24,1233.53
1897-03-29,England,Wales,1765.38,1336.13,1769.19,1332.31
1897-04-03,England,Scotland,1769.19,1674.24,1746.88,1696.56
1898-02-19,Wales,Northern Ireland,1332.31,1233.53,1309.85,1256.0
1898-03-05,Northern Ireland,England,1256.0,1746.88,1253.65,1749.22
1898-03-19,Scotland,Wales,1696.56,1309.85,1700.75,1305.66
1898-03-26,Northern Ireland,Scotland,1253.65,1700.75,1248.48,1705.92
1898-03-28,Wales,England,1305.66,1749.22,1300.39,1754.49
1898-04-02,Scotland,England,1705.92,1754.49,1681.82,1778.59
1899-02-18,England,Northern Ireland,1778.59,1248.48,1780.78,1246.29
1899-03-04,Northern Ireland,Wales,1246.29,1300.39,1262.48,1284.2
1899-03-18,Wales,Scotland,1284.2,1681.82,1276.58,1689.44
1899-03-20,England,Wales,1780.78,1276.58,1783.31,1274.05
1899-03-25,Scotland,Northern Ireland,1689.44,1262.48,1693.3,1258.62
1899-04-08,England,Scotland,1783.31,1693.3,1793.19,1683.42
1900-02-03,Scotland,Wales,1683.42,1274.05,1687.14,1270.34
1900-02-24,Wales,Northern Ireland,1270.34,1258.62,1290.12,1238.84
1900-03-03,Northern Ireland,Scotland,1238.84,1687.14,1233.7,1692.27
1900-03-17,Northern Ireland,England,1233.7,1793.19,1231.28,1795.62
1900-03-26,Wales,England,1290.12,1795.62,1303.95,1781.78
1900-04-07,Scotland,England,1692.27,1781.78,1723.44,1750.61
1901-02-23,Scotland,Northern Ireland,1723.44,1231.28,1726.15,1228.57
1901-03-02,Wales,Scotland,1303.95,1726.15,1316.59,1713.51
1901-03-09,England,Northern Ireland,1750.61,1228.57,1752.62,1226.57
1901-03-18,England,Wales,1752.62,1316.59,1756.29,1312.91
1901-03-23,Northern Ireland,Wales,1226.57,1312.91,1212.23,1327.25
1901-03-30,England,Scotland,1756.29,1713.51,1752.12,1717.68
1902-02-22,Wales,Northern Ireland,1327.25,1212.23,1286.86,1252.61
1902-03-01,Northern Ireland,Scotland,1252.61,1717.68,1247.24,1723.06
1902-03-03,Wales,England,1286.86,1752.12,1300.18,1738.81
1902-03-15,Scotland,Wales,1723.06,1300.18,1727.01,1296.23
1902-03-22,Northern Ireland,England,1247.24,1738.81,1244.9,1741.14
1902-05-03,England,Scotland,1741.14,1727.01,1738.22,1729.93
1902-07-20,Uruguay,Argentina,1500.0,1500.0,1470.74,1529.26
1902-10-12,Austria,Hungary,1500.0,1500.0,1521.94,1478.06
1903-02-14,England,Northern Ireland,1738.22,1244.9,1740.91,1242.22
1903-03-02,England,Wales,1740.91,1296.23,1742.66,1294.48
1903-03-09,Wales,Scotland,1294.48,1729.93,1291.34,1733.07
1903-03-21,Scotland,Northern Ireland,1733.07,1242.22,1687.11,1288.17
1903-03-28,Northern Ireland,Wales,1288.17,1291.34,1308.96,1270.56
1903-04-04,England,Scotland,1742.66,1687.11,1721.94,1707.83
1903-04-05,Hungary,Czech Republic,1478.06,1500.0,1489.83,1488.23
1903-06-11,Hungary,Austria,1489.83,1521.94,1501.97,1509.8
1903-09-13,Argentina,Uruguay,1529.26,1470.74,1512.59,1487.41
1903-10-11,Austria,Hungary,1509.8,1501.97,1525.83,1485.94
1904-02-29,Wales,England,1270.56,1721.94,1283.67,1708.83
1904-03-12,Northern Ireland,England,1308.96,1708.83,1303.31,1714.48
1904-03-12,Scotland,Wales,1707.83,1283.67,1693.79,1297.71
1904-03-21,Wales,Northern Ireland,1297.71,1303.31,1279.67,1321.34
1904-03-26,Northern Ireland,Scotland,1321.34,1693.79,1333.02,1682.11
1904-04-09,Scotland,England,1682.11,1714.48,1665.3,1731.29
1904-05-01,Belgium,France,1500.0,1500.0,1497.71,1502.29
1904-06-02,Hungary,Austria,1485.94,1525.83,1507.68,1504.08
1904-10-09,Austria,Hungary,1504.08,1507.68,1515.18,1496.58
1905-02-12,France,Switzerland,1502.29,1500.0,1513.17,1489.11
1905-02-25,England,Northern Ireland,1731.29,1333.02,1717.55,1346.76
1905-03-06,Wales,Scotland,1279.67,1665.3,1321.6,1623.37
1905-03-18,Scotland,Northern Ireland,1623.37,1346.76,1631.84,1338.29
1905-03-27,England,Wales,1717.55,1321.6,1720.97,1318.18
1905-04-01,England,Scotland,1720.97,1631.84,1730.88,1621.93
1905-04-08,Northern Ireland,Wales,1338.29,1318.18,1335.11,1321.36
1905-04-09,Hungary,Austria,1496.58,1515.18,1495.43,1516.34
1905-04-17,Guernsey,Alderney,1500.0,1500.0,1527.43,1472.57
1905-04-27,Jersey,Guernsey,1500.0,1527.43,1482.96,1544.46
1905-04-30,Belgium,Netherlands,1497.71,1500.0,1472.26,1525.46
1905-05-07,Belgium,France,1472.26,1513.17,1497.19,1488.24
1905-05-14,Netherlands,Belgium,1525.46,1497.19,1545.39,1477.26
1905-07-21,Guyana,Trinidad and Tobago,1500.0,1500.0,1474.4,1525.6
1905-08-15,Argentina,Uruguay,1512.59,1487.41,1509.18,1490.82
1906-02-17,Northern Ireland,England,1335.11,1730.88,1327.41,1738.58
1906-03-03,Scotland,Wales,1621.93,1321.36,1579.56,1363.73
1906-03-17,Northern Ireland,Scotland,1327.41,1579.56,1319.8,1587.18
1906-03-19,Wales,England,1363.73,1738.58,1359.46,1742.85
1906-03-29,Jersey,Guernsey,1482.96,1544.46,1467.49,1559.93
1906-04-01,Hungary,Czech Republic,1495.43,1488.23,1493.34,1490.32
1906-04-02,Wales,Northern Ireland,1359.46,1319.8,1355.42,1323.84
1906-04-02,Guernsey,Alderney,1559.93,1472.57,1569.92,1462.59
1906-04-07,Scotland,England,1587.18,1742.85,1607.9,1722.13
1906-04-22,France,Belgium,1488.24,1477.26,1458.2,1507.31
1906-04-29,Belgium,Netherlands,1507.31,1545.39,1532.03,1520.66
1906-05-13,Netherlands,Belgium,1520.66,1532.03,1506.45,1546.25
1906-08-15,Uruguay,Argentina,1490.82,1509.18,1464.64,1535.36
1906-10-07,Czech Republic,Hungary,1490.32,1493.34,1488.6,1495.06
1906-10-21,Argentina,Uruguay,1535.36,1464.64,1546.01,1453.99
1906-11-04,Hungary,Austria,1495.06,1516.34,1512.68,1498.72
1907-02-16,England,Northern Ireland,1722.13,1323.84,1724.38,1321.58
1907-02-23,Northern Ireland,Wales,1321.58,1355.42,1304.84,1372.16
1907-03-04,Wales,Scotland,1372.16,1607.9,1395.99,1584.08
1907-03-16,Scotland,Northern Ireland,1584.08,1304.84,1591.39,1297.52
1907-03-18,England,Wales,1724.38,1395.99,1711.64,1408.73
1907-03-21,Alderney,Jersey,1462.59,1467.49,1446.81,1483.27
1907-04-04,Jersey,Guernsey,1483.27,1569.92,1468.95,1584.24
1907-04-06,England,Scotland,1711.64,1591.39,1704.37,1598.66
1907-04-07,Hungary,Czech Republic,1512.68,1488.6,1530.37,1470.9
1907-04-14,Belgium,Netherlands,1546.25,1506.45,1522.19,1530.5
1907-04-21,Belgium,France,1522.19,1458.2,1505.34,1475.05
1907-05-05,Austria,Hungary,1498.72,1530.37,1516.91,1512.19
1907-05-09,Netherlands,Belgium,1530.5,1505.34,1514.97,1520.86
1907-10-06,Czech Republic,Hungary,1470.9,1512.19,1489.62,1493.47
1907-11-03,Hungary,Austria,1493.47,1516.91,1514.16,1496.22
1908-02-15,Northern Ireland,England,1297.52,1704.37,1292.07,1709.82
1908-03-07,Scotland,Wales,1598.66,1408.73,1605.09,1402.3
1908-03-08,Switzerland,France,1489.11,1475.05,1473.98,1490.18
1908-03-14,Northern Ireland,Scotland,1292.07,1605.09,1280.53,1616.63
1908-03-16,Wales,England,1402.3,1709.82,1390.46,1721.67
1908-03-29,Belgium,Netherlands,1520.86,1514.97,1494.89,1540.95
1908-04-02,Guernsey,Alderney,1584.24,1446.81,1601.71,1429.35
1908-04-04,Scotland,England,1616.63,1721.67,1619.14,1719.15
1908-04-05,Hungary,Czech Republic,1514.16,1489.62,1531.83,1471.96
1908-04-05,Switzerland,Germany,1473.98,1500.0,1491.86,1482.12
1908-04-09,Guernsey,Jersey,1601.71,1468.95,1554.27,1516.38
1908-04-11,Wales,Northern Ireland,1390.46,1280.53,1367.57,1303.41
1908-04-12,France,Belgium,1490.18,1494.89,1475.73,1509.35
1908-04-26,Netherlands,Belgium,1540.95,1509.35,1555.72,1494.58
1908-05-03,Austria,Hungary,1496.22,1531.83,1520.76,1507.29
1908-05-10,Netherlands,France,1555.72,1475.73,1570.11,1461.34
1908-06-06,Austria,England,1520.76,1719.15,1505.47,1734.44
1908-06-07,Austria,Germany,1505.47,1482.12,1515.61,1471.99
1908-06-08,Austria,England,1515.61,1734.44,1501.55,1748.49
1908-06-10,Hungary,England,1507.29,1748.49,1494.51,1761.28
1908-06-13,Czech Republic,England,1471.96,1761.28,1461.64,1771.59
1908-07-12,Sweden,Norway,1500.0,1500.0,1521.94,1478.06
1908-08-15,Uruguay,Argentina,1453.99,1546.01,1455.91,1544.09
1908-09-13,Argentina,Uruguay,1544.09,1455.91,1554.04,1445.96
1908-10-04,Argentina,Uruguay,1554.04,1445.96,1531.22,1468.78
1908-10-22,France,Denmark,1461.34,1500.0,1432.88,1528.45
1908-10-23,Netherlands,Sweden,1570.11,1521.94,1590.8,1501.25
1908-10-25,Netherlands,Sweden,1590.8,1501.25,1602.68,1489.37
1908-10-26,Belgium,Sweden,1494.58,1489.37,1505.36,1478.59
1908-11-01,Hungary,Austria,1494.51,1501.55,1511.34,1484.72
1909-02-13,England,Northern Ireland,1771.59,1303.41,1774.67,1300.33
1909-03-01,Wales,Scotland,1367.57,1619.14,1391.94,1594.78
1909-03-15,England,Wales,1774.67,1391.94,1778.34,1388.27
1909-03-15,Scotland,Northern Ireland,1594.78,1300.33,1602.52,1292.58
1909-03-18,Guernsey,Jersey,1554.27,1516.38,1575.34,1495.32
1909-03-20,Northern Ireland,Wales,1292.58,1388.27,1278.67,1402.18
1909-03-21,Belgium,Netherlands,1505.36,1602.68,1485.99,1622.05
1909-03-25,Guernsey,Alderney,1575.34,1429.35,1589.81,1414.88
1909-04-03,England,Scotland,1778.34,1602.52,1788.62,1592.24
1909-04-04,Germany,Switzerland,1471.99,1491.86,1483.68,1480.16
1909-04-04,Hungary,Germany,1511.34,1483.68,1508.53,1486.49
1909-04-25,Netherlands,Belgium,1622.05,1485.99,1633.48,1474.56
1909-05-02,Austria,Hungary,1484.72,1508.53,1470.95,1522.29
1909-05-09,Belgium,France,1474.56,1432.88,1491.18,1416.26
1909-05-29,Hungary,England,1522.29,1788.62,1513.71,1797.21
1909-05-30,Hungary,Austria,1513.71,1470.95,1510.37,1474.29
1909-05-31,Hungary,England,1510.37,1797.21,1499.94,1807.64
1909-06-01,Austria,England,1474.29,1807.64,1465.91,1816.02
1909-08-15,Argentina,Uruguay,1531.22,1468.78,1542.22,1457.78
1909-09-19,Uruguay,Argentina,1457.78,1542.22,1459.36,1540.64
1909-10-10,Argentina,Uruguay,1540.64,1459.36,1555.98,1444.02
1909-11-07,Hungary,Austria,1499.94,1465.91,1496.91,1468.95
1910-02-12,Northern Ireland,England,1278.67,1816.02,1292.85,1801.84
1910-03-05,Scotland,Wales,1592.24,1402.18,1598.66,1395.75
1910-03-13,Belgium,Netherlands,1491.18,1633.48,1507.3,1617.36
1910-03-14,Wales,England,1395.75,1801.84,1392.1,1805.49
1910-03-19,Northern Ireland,Scotland,1292.85,1598.66,1318.88,1572.63
1910-04-02,Scotland,England,1572.63,1805.49,1608.22,1769.91
1910-04-03,France,Belgium,1416.26,1507.3,1393.67,1529.89
1910-04-03,Switzerland,Germany,1480.16,1486.49,1465.76,1500.89
1910-04-07,Jersey,Alderney,1495.32,1414.88,1515.84,1394.36
1910-04-10,Netherlands,Belgium,1617.36,1529.89,1633.33,1513.93
1910-04-11,Wales,Northern Ireland,1392.1,1318.88,1410.57,1300.41
1910-04-21,Guernsey,Jersey,1589.81,1515.84,1568.33,1537.32
1910-04-24,Netherlands,Germany,1633.33,1500.89,1643.28,1490.94
1910-05-01,Austria,Hungary,1468.95,1496.91,1480.94,1484.92
1910-05-15,Italy,France,1500.0,1393.67,1514.8,1378.87
1910-05-16,Germany,Belgium,1490.94,1513.93,1466.8,1538.06
1910-05-26,Hungary,Italy,1484.92,1514.8,1509.04,1490.68
1910-05-27,Argentina,Chile,1555.98,1500.0,1569.5,1486.48
1910-05-29,Chile,Uruguay,1486.48,1444.02,1461.36,1469.15
1910-06-05,Argentina,Chile,1569.5,1461.36,1584.19,1446.67
1910-06-12,Argentina,Uruguay,1584.19,1469.15,1596.68,1456.65
1910-08-15,Uruguay,Argentina,1456.65,1596.68,1486.74,1566.6
1910-09-11,Norway,Sweden,1478.06,1478.59,1448.84,1507.81
1910-09-11,Chile,Argentina,1446.67,1566.6,1428.72,1584.55
1910-10-16,Germany,Netherlands,1466.8,1643.28,1458.47,1651.62
1910-10-16,Russia,Czech Republic,1500.0,1461.64,1509.61,1452.03
1910-10-23,Russia,Czech Republic,1509.61,1452.03,1518.57,1443.07
1910-11-06,Hungary,Austria,1509.04,1480.94,1526.48,1463.49
1910-11-13,Argentina,Uruguay,1584.55,1486.74,1578.12,1493.16
1910-11-27,Argentina,Uruguay,1578.12,1493.16,1534.28,1537.0
1911-01-01,France,Hungary,1378.87,1526.48,1362.6,1542.75
1911-01-06,Italy,Hungary,1490.68,1542.75,1477.96,1555.47
1911-01-08,Switzerland,Hungary,1465.76,1555.47,1487.15,1534.09
1911-01-28,Northern Ireland,Wales,1300.41,1410.57,1287.16,1423.83
1911-02-11,England,Northern Ireland,1769.91,1287.16,1771.33,1285.73
1911-03-06,Wales,Scotland,1423.83,1608.22,1429.72,1602.32
1911-03-13,England,Wales,1771.33,1429.72,1776.65,1424.4
1911-03-18,Scotland,Northern Ireland,1602.32,1285.73,1607.51,1280.54
1911-03-19,Belgium,Netherlands,1538.06,1651.62,1517.1,1672.58
1911-03-26,Germany,Switzerland,1458.47,1487.15,1482.5,1463.12
1911-04-01,England,Scotland,1776.65,1607.51,1767.72,1616.44
1911-04-02,Netherlands,Belgium,1672.58,1517.1,1681.59,1508.09
1911-04-09,France,Italy,1362.6,1477.96,1364.98,1475.58
1911-04-20,Guernsey,Alderney,1568.33,1394.36,1575.24,1387.45
1911-04-23,Belgium,Germany,1508.09,1482.5,1518.15,1472.44
1911-04-23,Switzerland,France,1463.12,1364.98,1476.51,1351.59
1911-04-27,Jersey,Guernsey,1537.32,1575.24,1564.34,1548.21
1911-04-30,Belgium,France,1518.15,1351.59,1529.58,1340.16
1911-05-07,Austria,Hungary,1463.49,1534.09,1483.83,1513.75
1911-05-07,Italy,Switzerland,1475.58,1476.51,1473.78,1478.3
1911-05-21,Switzerland,Italy,1478.3,1473.78,1497.21,1454.87
1911-06-18,Sweden,Germany,1507.81,1472.44,1483.98,1496.26
1911-08-15,Argentina,Uruguay,1534.28,1537.0,1507.04,1564.25
1911-09-17,Sweden,Norway,1483.98,1448.84,1501.0,1431.82
1911-09-17,Uruguay,Argentina,1564.25,1507.04,1543.46,1527.82
1911-10-08,Uruguay,Argentina,1543.46,1527.82,1540.47,1530.81
1911-10-09,Germany,Austria,1496.26,1483.83,1481.19,1498.9
1911-10-22,Finland,Sweden,1500.0,1501.0,1474.46,1526.54
1911-10-22,Argentina,Uruguay,1530.81,1540.47,1552.04,1519.25
1911-10-29,Germany,Sweden,1481.19,1526.54,1461.73,1546.0
1911-10-29,Hungary,Switzerland,1513.75,1497.21,1534.51,1476.46
1911-10-29,Luxembourg,France,1500.0,1340.16,1465.51,1374.65
1911-10-29,Uruguay,Argentina,1519.25,1552.04,1545.86,1525.42
1911-11-05,Hungary,Austria,1534.51,1498.9,1549.07,1484.34
1911-12-17,Germany,Hungary,1461.73,1549.07,1441.73,1569.07
1912-01-28,France,Belgium,1374.65,1529.58,1378.41,1525.83
1912-02-10,Northern Ireland,England,1280.54,1767.72,1275.76,1772.5
1912-02-10,France,Catalonia,1378.41,1500.0,1409.21,1469.2
1912-02-18,France,Switzerland,1409.21,1476.46,1432.72,1452.95
1912-02-20,Belgium,Switzerland,1525.83,1452.95,1542.73,1436.04
1912-03-02,Scotland,Wales,1616.44,1424.4,1622.81,1418.04
1912-03-10,Belgium,Netherlands,1542.73,1681.59,1533.14,1691.19
1912-03-11,Wales,England,1418.04,1772.5,1410.95,1779.59
1912-03-16,Northern Ireland,Scotland,1275.76,1622.81,1267.18,1631.39
1912-03-17,Italy,France,1454.87,1432.72,1439.45,1448.14
1912-03-23,Scotland,England,1631.39,1779.59,1635.79,1775.18
1912-03-24,Netherlands,Germany,1691.19,1441.73,1682.26,1450.65
1912-04-13,Wales,Northern Ireland,1410.95,1267.18,1386.85,1291.28
1912-04-14,Hungary,Germany,1569.07,1450.65,1563.31,1456.41
1912-04-18,Jersey,Guernsey,1564.34,1548.21,1561.33,1551.22
1912-04-19,Jersey,Guernsey,1561.33,1551.22,1528.54,1584.02
1912-04-25,Guernsey,Alderney,1584.02,1387.45,1596.48,1374.98
1912-04-28,Netherlands,Belgium,1682.26,1533.14,1688.44,1526.96
1912-05-05,Austria,Hungary,1484.34,1563.31,1485.4,1562.25
1912-05-05,Switzerland,Germany,1436.04,1456.41,1422.15,1470.3
1912-05-06,Russia,Finland,1518.57,1474.46,1515.19,1477.85
1912-06-16,Norway,Sweden,1431.82,1546.0,1421.36,1556.46
1912-06-20,Sweden,Hungary,1556.46,1562.25,1554.84,1563.87
1912-06-23,Norway,Hungary,1421.36,1563.87,1402.42,1582.81
1912-06-27,Sweden,Finland,1554.84,1477.85,1571.48,1461.21
1912-06-29,Finland,Italy,1461.21,1439.45,1476.21,1424.45
1912-06-29,Austria,Germany,1485.4,1470.3,1516.01,1439.69
1912-06-29,Sweden,Netherlands,1571.48,1688.44,1558.52,1701.39
1912-06-30,Netherlands,Austria,1701.39,1516.01,1713.68,1503.73
1912-06-30,Denmark,Norway,1528.45,1402.42,1549.33,1381.54
1912-06-30,Finland,Russia,1476.21,1515.19,1493.99,1497.4
1912-07-01,Austria,Norway,1503.73,1381.54,1514.32,1370.95
1912-07-01,Germany,Russia,1439.69,1497.4,1476.96,1460.13
1912-07-01,Sweden,Italy,1558.52,1424.45,1534.76,1448.21
1912-07-02,Denmark,Netherlands,1549.33,1713.68,1589.67,1673.34
1912-07-03,Hungary,Germany,1582.81,1476.96,1599.71,1460.05
1912-07-03,Austria,Italy,1514.32,1448.21,1540.31,1422.23
1912-07-03,Norway,Russia,1370.95,1460.13,1386.96,1444.12
1912-07-04,Netherlands,Finland,1673.34,1493.99,1690.15,1477.19
1912-07-05,Hungary,Austria,1599.71,1540.31,1622.97,1517.05
1912-07-12,Russia,Hungary,1444.12,1622.97,1427.6,1639.49
1912-07-14,Russia,Hungary,1427.6,1639.49,1413.13,1653.96
1912-08-15,Uruguay,Argentina,1545.86,1525.42,1565.06,1506.22
1912-08-25,Uruguay,Argentina,1565.06,1506.22,1584.57,1486.72
1912-09-22,Argentina,Uruguay,1486.72,1584.57,1472.91,1598.38
1912-10-06,Argentina,Uruguay,1472.91,1598.38,1476.33,1594.96
1912-10-06,Denmark,Germany,1589.67,1460.05,1599.74,1449.98
1912-11-03,Hungary,Austria,1653.96,1517.05,1666.98,1504.03
1912-11-03,Sweden,Norway,1534.76,1386.96,1544.07,1377.65
1912-11-17,Germany,Netherlands,1449.98,1690.15,1443.56,1696.56
1912-12-01,Uruguay,Argentina,1594.96,1476.33,1567.11,1504.18
1912-12-01,Catalonia,France,1469.2,1448.14,1479.42,1437.92
1912-12-22,Italy,Austria,1422.23,1504.03,1404.78,1521.48
